parameter_id,name,value,units,constant,pbpko_class,chebi_ids
QL,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QG,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QSk,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QFatINIT,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QFat,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QMamINIT,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QMam,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QKINIT,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QK,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QFilINIT,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QFil,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QPla,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QC,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00013,
QR,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
kurine,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00237,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
Tm,,0,mg_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00536,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans1,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans2,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans3,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans4,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
CA_free,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CA,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Cfil,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVFat,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVMam,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVG,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVL,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVK,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVSk,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVR,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVPla,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CA_f_free,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CA_f,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CRF,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVRF,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CAmf,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
rtrans1,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
rtrans2,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
rtrans3,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
rtrans4,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
DQK_val,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
DQFil_val,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
DVPlasC_val,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00610,
DHtc_val,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
VAFX_val,,0,L,false,http://purl.obolibrary.org/obo/PBPKO_00103,
