parameter_id,name,value,units,constant,pbpko_class,chebi_ids
gch_v1,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_m1,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_u,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_DR,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_DRp,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_H00,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_H10,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_H01,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
gch_H11,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
QC,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00013,
QL,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QG,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QK,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QFil,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qfat,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qbr,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qlg,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qmar,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qsk,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qmam,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Qplac,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00611,
QR,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
Tm,,0,mg_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00536,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
QCf,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
QRF,,0,L_per_h,false,http://purl.obolibrary.org/obo/PBPKO_00012,
ktrans1,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans2,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans3,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
ktrans4,,0,per_h,false,http://purl.obolibrary.org/obo/PBPKO_00381,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
CA,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Cfil,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVfat,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVbr,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVlg,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVmar,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVsk,,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVmam,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVG,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVL,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVK,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVR,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
CVpla,,0,mg_per_L,false,http://purl.obolibrary.org/obo/PBPKO_00649,
