parameter_id,name,value,units,constant,pbpko_class,chebi_ids
Frac_Intake_Ado,,1.41,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
DecreaseIntake_1,,0.2,min,true,http://purl.obolibrary.org/obo/PBPKO_00551,
DecreaseIntake_2,,0.04,min,true,http://purl.obolibrary.org/obo/PBPKO_00551,
mainCYP,,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
child_sex,Born child sex: 0=female 1=male,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
W0_input,Birth weight kg; 0=auto from Luecke,0,kg,true,http://purl.obolibrary.org/obo/PBPKO_00008,
Gestation,1 during pregnancy,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
Lactation,1 during breastfeeding,0,dimensionless,false,http://purl.obolibrary.org/obo/PBPKO_00649,
mother,1=mother subject 0=child subject,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Gestation_StartAge_inYear,,30,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Gestation_Duration_inWeek,,40,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
LactationTotal_Duration_inWeek,,26,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
LactationPartial_Duration_inWeek,,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
StopBreastmilk_total,,0,min,true,http://purl.obolibrary.org/obo/PBPKO_00551,
Abs,,1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00649,
Free_no_pgcy,,0.02,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00149,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
HalfLife,Elimination half-life (yr),2.5,min,true,http://purl.obolibrary.org/obo/PBPKO_00262,
PC_blood_over_air,,1e+99,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_ow,,0,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_0,,0.23,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_0,,0.23,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_1,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_1,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_2,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_2,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_3,,0.08,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_3,,0.08,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_4,,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_foetus_4,,0.1,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
PC_5,,0.58,dimensionless,true,http://purl.obolibrary.org/obo/PBPKO_00165,https://identifiers.org/CHEBI:35924; https://identifiers.org/CHEBI:36179
